image,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Eric Montoya.jpg,5.203247,22.216797,7.739258,2.0202637,2.2598267,20.288086,9.100342,2.5939941,3.289795,0.48484802,18.75,6.677246,1.499939,1.8615723,13.427734,0.83618164,16.149902,1.9851685,7.305908,1.9378662,4.4403076,10.583496,6.512451,8.532715,0.67977905,0.84609985,0.10023117,0.19569397,2.949524,6.134033,23.144531,2.760315,4.397583,0.9246826,3.2409668,1.9119263,0.31967163,5.218506,0.48294067,0.95062256,0.535202,0.806427,0.38852692,1.1619568,0.3030777,0.61798096,1.28479,2.4276733,1.3931274
Eric Montoya_c.png,6.048584,3.1524658,45.507812,3.7078857,0.38928986,5.7373047,3.970337,3.189087,0.4070282,5.4382324,3.4362793,1.7929077,1.7471313,2.3254395,0.68588257,0.61073303,0.27236938,0.20313263,1.1360168,0.1613617,24.023438,0.90179443,2.5009155,0.7198334,0.5302429,0.5306244,0.71907043,0.07095337,19.494629,1.4419556,0.49438477,0.030565262,4.01001,0.067424774,1.9241333,1.7196655,1.1878967,0.267601,0.64849854,0.32730103,0.7198334,0.34332275,0.71372986,0.5001068,0.5115509,0.5870819,0.33111572,0.5554199,2.7160645
apple.png,15.844727,2.3513794,11.065674,11.700439,3.5339355,3.9154053,1.8371582,2.7374268,4.043579,9.857178,28.442383,8.532715,0.9674072,8.880615,1.4312744,3.68042,2.0889282,5.432129,0.6908417,1.9836426,4.1870117,2.078247,5.4107666,1.5144348,1.3084412,1.3313293,3.567505,3.4698486,13.293457,1.739502,0.94070435,0.71144104,0.33302307,1.2794495,1.7227173,4.534912,1.4595032,0.4951477,1.9622803,3.2653809,7.7148438,2.0812988,1.2443542,1.222229,6.80542,2.7877808,0.6416321,2.6809692,0.93917847
apple_c.png,17.504883,1.9378662,3.8085938,13.049316,3.225708,3.1280518,1.7471313,5.770874,2.0492554,4.9102783,21.887207,11.505127,2.4169922,8.630371,11.981201,1.4770508,2.5939941,3.6987305,1.5869141,2.7740479,2.1270752,1.5541077,6.3964844,9.515381,1.2123108,4.824829,0.5825043,3.9245605,6.5612793,1.2458801,8.03833,1.5762329,1.0169983,1.3587952,1.5213013,4.5959473,0.46081543,1.5670776,0.5542755,1.0345459,5.554199,0.9674072,1.045227,0.6843567,0.8956909,1.6921997,1.234436,2.470398,1.1993408
cat.png,8.666992,1.2542725,17.712402,21.276855,3.479004,1.5655518,1.3763428,2.4337769,2.8244019,8.215332,4.006958,9.692383,1.0292053,7.6782227,5.621338,0.4043579,0.54016113,2.987671,0.20751953,0.69389343,2.6779175,0.78201294,1.7288208,2.5436401,0.7446289,1.8173218,1.033783,3.3050537,4.1900635,1.1062622,1.852417,1.0551453,2.217102,1.1474609,1.4717102,2.7908325,2.09198,1.084137,0.6095886,0.38394928,14.807129,1.3122559,1.285553,0.78125,2.5100708,1.890564,1.0108948,1.8066406,0.67367554
cat_c.png,11.987305,3.4118652,15.759277,2.6809692,0.743103,10.119629,6.6345215,7.611084,2.2827148,1.852417,7.9345703,6.70166,1.1962891,4.7302246,8.526611,1.461792,1.3404846,0.79574585,1.0391235,1.8829346,7.9345703,2.8930664,3.7628174,1.7608643,0.42991638,0.756073,1.6830444,1.385498,13.85498,2.5405884,2.658081,0.4737854,1.1932373,0.29716492,3.8879395,1.8890381,0.35114288,1.0505676,0.7331848,1.0795593,1.9851685,0.81710815,0.76675415,0.6374359,0.374794,0.8041382,1.0093689,1.4381409,1.0910034
climb.png,10.400391,6.2561035,10.205078,3.4057617,0.8934021,2.3620605,1.436615,3.5186768,4.623413,1.2893677,10.375977,6.567383,0.28953552,2.2781372,1.2138367,1.2039185,1.7776489,0.422287,0.32100677,1.6342163,0.77819824,0.81329346,1.6571045,1.1306763,0.27999878,1.1405945,1.6113281,3.6743164,0.699234,0.78125,0.6668091,0.1253128,0.106716156,0.18720627,1.1505127,1.3839722,0.6462097,0.31967163,0.6576538,0.6111145,1.751709,0.32539368,0.5332947,0.35305023,0.23727417,0.7411957,0.53749084,0.7217407,0.5470276
climb_c.png,8.959961,13.122559,20.568848,3.4332275,1.109314,3.9550781,8.001709,7.537842,9.631348,6.0913086,4.7943115,29.199219,0.33836365,2.748108,8.831787,1.2245178,3.8391113,0.7724762,0.8041382,0.3932953,3.1585693,6.323242,1.8493652,3.2867432,0.35133362,0.7621765,6.124878,1.4945984,2.810669,4.5318604,4.5043945,0.4081726,2.191162,0.47950745,3.1951904,1.8218994,2.8274536,2.0645142,1.4472961,3.5705566,7.318115,0.831604,2.3605347,2.1469116,0.73509216,1.524353,1.3389587,2.8656006,0.95443726
dwarfs.png,15.515137,2.4215698,12.158203,6.854248,1.7181396,3.7017822,4.281616,1.9165039,5.755615,10.71167,6.1431885,13.500977,0.63591003,8.111572,3.2867432,2.34375,1.5228271,1.5869141,1.3198853,0.8293152,1.5609741,1.9134521,2.3269653,3.2287598,1.1543274,1.1894226,4.9835205,1.7181396,3.994751,4.498291,0.9239197,0.07562637,0.7904053,0.2784729,1.2237549,4.1625977,2.2720337,0.6427765,0.90560913,2.5512695,7.2875977,1.084137,2.3910522,1.3427734,3.1738281,1.6906738,0.5050659,2.279663,1.8890381
dwarfs_c.png,24.072266,5.7891846,13.500977,11.016846,2.1331787,4.2510986,2.2323608,12.359619,18.83545,16.19873,19.73877,46.435547,0.25119781,7.7697754,3.5369873,12.127686,0.93460083,0.8605957,2.4429321,2.4841309,0.7972717,0.9727478,3.5308838,9.655762,0.9819031,3.0166626,20.385742,10.748291,1.8890381,0.9819031,0.7205963,0.0749588,0.2128601,0.23136139,2.7435303,7.2875977,2.1591187,0.8468628,0.71487427,7.4523926,12.963867,0.63591003,4.193115,1.4587402,0.5313873,3.7445068,1.0391235,5.984497,1.3824463
einstein.png,7.696533,7.055664,21.472168,1.1116028,1.2992859,5.8654785,7.751465,1.876831,5.508423,2.2140503,4.4921875,5.9661865,0.19989014,1.4900208,4.888916,1.2527466,1.6281128,0.48561096,0.49934387,1.0528564,1.0520935,7.080078,1.4572144,1.1528015,0.50964355,0.31414032,1.3313293,0.49438477,1.5174866,3.768921,1.4129639,0.26054382,0.81329346,0.32691956,2.1972656,1.3504028,0.94299316,0.6713867,0.87127686,2.3483276,2.6779175,0.59280396,1.020813,0.51078796,1.3206482,1.1146545,0.55007935,1.5159607,0.655365
einstein_c.png,14.904785,2.5009155,5.9570312,10.455322,1.5838623,1.0894775,2.6565552,4.483032,5.2246094,7.1533203,10.412598,41.94336,0.28877258,4.2877197,4.13208,1.7227173,4.119873,1.3587952,0.907135,0.61569214,1.0116577,1.7837524,2.3895264,6.5185547,0.62789917,1.6723633,9.655762,1.8295288,2.1453857,4.4647217,0.67596436,0.12187958,0.87127686,0.41389465,1.4404297,3.7963867,2.105713,1.1405945,0.98876953,2.4337769,9.588623,0.80566406,2.0721436,1.0093689,2.0309448,1.3717651,1.0093689,2.2476196,1.095581
elephant.png,15.136719,9.716797,8.898926,12.329102,5.5511475,2.2827148,3.7200928,2.4337769,5.154419,4.1503906,3.1829834,3.5552979,0.67749023,1.675415,9.301758,1.374054,1.1474609,1.5220642,2.4780273,0.9124756,4.9713135,7.495117,3.2196045,3.7231445,2.4169922,1.4900208,1.6220093,0.34503937,1.5457153,2.4017334,3.4973145,3.0792236,4.2938232,3.9886475,3.161621,3.781128,4.9438477,1.7608643,1.5457153,1.8417358,3.7658691,0.6530762,1.5396118,2.1484375,1.2992859,1.876831,2.619934,2.090454,1.2260437
elephant_c.png,17.578125,3.6987305,4.312134,7.836914,9.484863,4.8675537,6.536865,1.8844604,5.9692383,4.1778564,2.619934,5.014038,2.3025513,7.6293945,1.2336731,2.029419,2.0507812,8.331299,1.6830444,1.2825012,0.4623413,1.0299683,1.8981934,2.9281616,1.7150879,1.2184143,0.39672852,0.5958557,1.3824463,1.084137,3.2836914,1.0147095,2.8656006,0.68626404,0.35800934,1.9104004,1.8676758,1.0612488,0.9208679,0.8644104,1.9424438,1.1543274,2.5680542,1.1940002,2.6611328,1.4732361,0.5710602,1.7807007,0.8590698
face.jpg,10.876465,1.2771606,12.988281,10.03418,11.1328125,2.3773193,4.208374,0.7534027,11.309814,13.793945,4.9865723,6.781006,0.5138397,8.7890625,0.5924225,1.3847351,0.43792725,9.979248,0.14791489,2.1865845,1.3328552,1.6174316,1.7181396,0.7827759,3.2318115,1.9927979,1.9424438,2.7069092,2.848816,0.35114288,0.26683807,1.0879517,0.9109497,0.69999695,0.45967102,2.947998,3.942871,0.28457642,1.9851685,1.197052,8.843994,3.8513184,2.0568848,2.191162,36.254883,2.947998,0.592041,2.3727417,0.32444
