Question,Average Proportion of Ambiguous Choice,Average Proportion of Control Choice,Average Ambiguous Choice Reaction Time,Average Control Choice Reaction Time,Difference in Proportions
Eric Montoya,0.4181818181818181,0.5818181818181819,1.2373164335886635,1.5572481097597064,-0.1636363636363638
apple,0.2222222222222222,0.7777777777777778,0.3883577876620822,1.078769196404351,-0.5555555555555556
cat,0.4727272727272727,0.5272727272727272,1.9278326879848136,1.5468382206830114,-0.05454545454545451
climb,0.5636363636363636,0.4363636363636363,1.3524971488750344,1.7786214842940824,0.12727272727272732
dwarfs,0.3818181818181818,0.6181818181818182,1.556927764776981,1.5689770651586128,-0.2363636363636364
einstein,0.4909090909090909,0.509090909090909,2.2302162072875285,0.941919259591536,-0.018181818181818132
elephant,0.1454545454545454,0.8545454545454546,0.715050703828985,1.7420468160600373,-0.7090909090909092
face,0.1454545454545454,0.8545454545454546,0.5573386351267497,2.0235984932292594,-0.7090909090909092
fantasy,0.890909090909091,0.109090909090909,1.448980603434823,0.2501340562647039,0.781818181818182
flower,0.5454545454545454,0.4545454545454545,1.1701951124451375,1.0181880300695243,0.09090909090909094
goose,0.2666666666666666,0.7333333333333333,0.5662389013502334,1.207482311460707,-0.4666666666666667
half,0.6545454545454545,0.3454545454545454,1.3968498836864125,0.6095344868573276,0.30909090909090914
halfskeleton,0.5777777777777778,0.4222222222222223,3.8132408848515262,2.9049219833479984,0.15555555555555556
horses,0.7272727272727273,0.2727272727272727,1.391374233635989,0.7029465729540045,0.4545454545454546
love,0.7818181818181817,0.2181818181818181,1.198364356069854,0.377464071187106,0.5636363636363637
magician,0.6888888888888889,0.3111111111111111,1.4915467655217205,1.6461539347966512,0.37777777777777777
monkey,0.2666666666666666,0.7333333333333333,1.0239274130927192,1.1934724887212118,-0.4666666666666667
mountain,0.5818181818181819,0.4181818181818181,1.1349530295892196,1.148242532123219,0.1636363636363638
night,0.6909090909090909,0.3090909090909091,1.697387119134267,1.1360482692718503,0.38181818181818183
oldman,0.8,0.2,1.5654155962394944,0.3916934555227106,0.6000000000000001
oldpeople,0.6909090909090909,0.3090909090909091,1.2667595234784212,0.7500419530001554,0.38181818181818183
painting,0.6363636363636364,0.3636363636363636,1.437576861815019,0.9362205093557184,0.27272727272727276
people,0.8,0.2,0.9243242838165976,0.3556026978926225,0.6000000000000001
scene,0.7818181818181817,0.2181818181818182,1.3451818466186525,0.3046586676077409,0.5636363636363635
skeleton,0.7818181818181817,0.2181818181818181,0.9828870285641064,0.406802021373402,0.5636363636363637
street,0.890909090909091,0.1090909090909091,1.7237554539333693,0.4160536527633667,0.7818181818181819
sunset,0.6727272727272727,0.3272727272727272,1.6118676189220311,3.728226736097625,0.3454545454545455
table,0.8,0.2,1.4638292204249987,0.4262984741817821,0.6000000000000001
tiger,0.4363636363636363,0.5636363636363636,1.0536340402834343,2.374647104017662,-0.12727272727272732
tree,0.5454545454545454,0.4545454545454545,1.5444216189962443,1.417598956642729,0.09090909090909094
treeelephant,0.3636363636363636,0.6363636363636364,1.324745535850525,1.7545478766614742,-0.27272727272727276
twotrees,0.4181818181818181,0.5818181818181819,1.4307869506604745,2.2797392632022047,-0.1636363636363638
upsidedownwoman,0.2909090909090909,0.7090909090909091,1.120055370981043,2.31340335968769,-0.4181818181818182
vangogh,0.8727272727272727,0.1272727272727272,1.424051654700077,0.5244664929129861,0.7454545454545455
wife,0.4545454545454545,0.5454545454545454,1.1091341278769753,1.5097223065116188,-0.09090909090909094
woman,0.2,0.8,1.051027861508456,2.2162019935521213,-0.6000000000000001
