Image Name,Participant 001 First Ordering,Participant 001 Second Ordering,Participant 001 Third Ordering,Participant 002 First Ordering,Participant 002 Second Ordering,Participant 002 Third Ordering,Participant 003 First Ordering,Participant 003 Second Ordering,Participant 003 Third Ordering,Participant 005 First Ordering,Participant 005 Second Ordering,Participant 005 Third Ordering,Participant 006 First Ordering,Participant 006 Second Ordering,Participant 006 Third Ordering,Participant 007 First Ordering,Participant 007 Second Ordering,Participant 007 Third Ordering,Participant 008 First Ordering,Participant 008 Second Ordering,Participant 008 Third Ordering,Participant 011 First Ordering,Participant 011 Second Ordering,Participant 011 Third Ordering,Participant 012 First Ordering,Participant 012 Second Ordering,Participant 012 Third Ordering,Participant 009 First Ordering,Participant 009 Second Ordering,Participant 009 Third Ordering,Participant 010 First Ordering,Participant 010 Second Ordering,Participant 010 Third Ordering,Participant 013 First Ordering,Participant 013 Second Ordering,Participant 013 Third Ordering,Participant 014 First Ordering,Participant 014 Second Ordering,Participant 014 Third Ordering
catapult_01b.jpg,19.0,37.0,34.0,19.0,7.0,13.0,1.0,6.0,6.0,12.0,8.0,11.0,36.0,28.0,30.0,22.0,31.0,29.0,8.0,12.0,11.0,36.0,38.0,38.0,6.0,16.0,15.0,20.0,4.0,5.0,12.0,15.0,17.0,26.0,12.0,22.0,14.0,2.0,14.0
sled_01b.jpg,35.0,40.0,44.0,27.0,16.0,23.0,15.0,7.0,16.0,19.0,25.0,17.0,43.0,40.0,43.0,14.0,40.0,28.0,25.0,17.0,22.0,24.0,2.0,10.0,36.0,36.0,28.0,42.0,22.0,9.0,30.0,12.0,16.0,17.0,28.0,16.0,5.0,38.0,32.0
alpaca_01b.jpg,14.0,16.0,10.0,34.0,32.0,33.0,33.0,38.0,36.0,20.0,27.0,26.0,17.0,20.0,15.0,30.0,26.0,31.0,34.0,34.0,26.0,21.0,50.0,31.0,38.0,39.0,43.0,23.0,19.0,13.0,29.0,23.0,22.0,35.0,35.0,40.0,12.0,41.0,31.0
anchor_01b.jpg,20.0,35.0,37.0,6.0,11.0,7.0,11.0,18.0,12.0,23.0,28.0,25.0,48.0,45.0,47.0,26.0,39.0,34.0,26.0,37.0,30.0,10.0,9.0,5.0,33.0,21.0,27.0,22.0,17.0,11.0,22.0,32.0,39.0,7.0,6.0,7.0,11.0,19.0,35.0
springboard_01b.jpg,26.0,32.0,43.0,23.0,18.0,22.0,9.0,9.0,7.0,45.0,14.0,35.0,41.0,1.0,29.0,39.0,36.0,1.0,45.0,42.0,43.0,41.0,27.0,48.0,20.0,19.0,26.0,36.0,38.0,31.0,41.0,33.0,32.0,46.0,39.0,44.0,17.0,34.0,48.0
sheet_01b.jpg,25.0,46.0,40.0,40.0,36.0,38.0,25.0,31.0,23.0,49.0,46.0,49.0,35.0,46.0,45.0,19.0,7.0,14.0,48.0,48.0,48.0,46.0,43.0,45.0,31.0,50.0,47.0,50.0,50.0,50.0,32.0,47.0,46.0,48.0,46.0,48.0,39.0,10.0,40.0
laptop_01b.jpg,31.0,24.0,30.0,36.0,34.0,36.0,8.0,1.0,2.0,26.0,7.0,7.0,21.0,3.0,1.0,35.0,37.0,40.0,35.0,22.0,28.0,34.0,19.0,27.0,32.0,38.0,13.0,16.0,31.0,28.0,28.0,38.0,1.0,8.0,5.0,6.0,30.0,25.0,10.0
anvil_01b.jpg,30.0,43.0,45.0,10.0,1.0,4.0,18.0,30.0,19.0,16.0,21.0,15.0,47.0,42.0,44.0,16.0,18.0,17.0,29.0,24.0,27.0,2.0,4.0,3.0,17.0,17.0,8.0,21.0,1.0,3.0,10.0,14.0,15.0,5.0,4.0,10.0,4.0,16.0,2.0
jeep_01b.jpg,21.0,30.0,27.0,38.0,46.0,43.0,4.0,2.0,1.0,13.0,12.0,14.0,13.0,4.0,3.0,34.0,17.0,25.0,23.0,18.0,21.0,27.0,36.0,32.0,34.0,10.0,11.0,35.0,25.0,30.0,13.0,21.0,25.0,2.0,7.0,9.0,29.0,29.0,24.0
spur_01b.jpg,29.0,27.0,42.0,1.0,6.0,1.0,2.0,13.0,11.0,29.0,1.0,3.0,2.0,16.0,8.0,5.0,16.0,12.0,7.0,20.0,17.0,12.0,16.0,12.0,11.0,26.0,14.0,1.0,7.0,1.0,2.0,19.0,5.0,9.0,10.0,21.0,42.0,24.0,20.0
